material,gLen_µm,freq_Ghz,gain_dB,noise_dB,Pdc_mW,bandwidth_GHz,lna_arch
GaN,0.15,16,14,2.15,150,8,2stage
GaN ,0.25,2.4,19,0.85,98,0.5,Singlestage
GaN ,0.15,34,18,2.5,120,8,3stage
GaN ,0.1,60,17,3.6,80,10,3stage
GaN ,0.15,10,27,0.8,170,4,3stage
GaN ,0.25,3,16,1.5,130,4,null
GaN ,0.15,24,21.5,2.2,68,4,3stage
GaN ,0.15,1.05,25,0.6,140,0.3,2stage
GaN ,0.1,75,19,4,90,12,4stage
GaN,0.2,11,17,1.3,160,2,2stage
GaN ,0.15,24,19,2.25,135,8,3stage
GaN ,0.15,3.9,21,1,95,0.6,2stage
GaN ,0.07,90,19,4.8,100,10,4stage
GaN ,0.25,1.8,20,0.9,80,null,2stage
GaN ,0.15,36,17,2.75,118,8,3stage
GaN ,0.1,80,16,4.2,92,10,3stage
GaN,0.15,18,15.5,2.1,145,8,2stage
GaN ,0.2,2.4,22.2,0.7,150,0.5,2stage
GaN ,0.15,9,18,1.3,100,6,3stage
GaN ,0.1,77.5,17,4.4,115,15,3stage
GaN ,0.15,26,20,2.3,72,4,3stage
GaN ,0.05,135,11,7,85,30,2stage
GaN,0.15,4.5,14,2,180,7,Distributed
GaN ,0.15,30,23.5,1.9,155,5,4stage
GaN ,0.25,3.8,15,1.25,110,2.8,null
GaN ,0.25,1.5,20,1,100,2,null
GaN ,0.15,47.5,15,3.5,90,15,3stage
GaN ,0.1,90,18,4.5,98,10,4stage
GaN,0.25,1.9,21.8,0.75,120,null,2stage
GaN ,0.15,10,24,1,140,1.5,3stage
GaN ,0.15,27,18,2.3,128,10,3stage
GaN ,0.1,72.5,16,4.15,108,15,3stage
GaN ,0.15,28,19,2.4,78,4,3stage
GaN ,0.07,110,14,5.7,82,20,3stage
GaN ,0.15,13.5,10,3,null,23,Distributed
GaN,0.2,6,15,1.5,150,4,null
GaN ,0.15,30,17,2.45,142,10,3stage
GaN ,0.15,6.5,15,1.7,170,11,Distributed
GaN ,0.25,2.4,20.8,0.8,60,null,2stage
GaN ,0.1,90,14,5.25,null,40,Distributed
GaAs ,0.13,2,25,0.6,55,0.4,3stage
GaAs ,0.1,14,15,3,190,24,Distributed
GaAs ,0.15,14,17,1.85,95,8,3stage
GaAs ,0.13,45,13,3.6,115,10,3stage
GaAs ,0.15,12,24.5,0.8,65,1,3stage
GaAs ,0.1,21,18,2.15,85,6,3stage
InP ,0.07,75,16,3.5,75,30,4stage
GaAs ,0.15,8.5,14.5,1.85,120,13,Distributed
GaAs ,0.1,60,12,4.85,100,20,3stage
GaAs ,0.13,27,17,2.4,90,6,3stage
GaAs ,0.1,42.5,15,3,110,15,3stage
GaAs ,0.15,2.4,24,0.5,60,0.2,3stage
GaAs ,0.1,16,16,2,100,12,3stage
GaN ,0.1,73.5,20,4.5,120,5,4stage
GaN,0.15,28,24,2,135,4,3stage
GaN ,0.1,94,18,3.8,100,4,4stage
GaN ,0.25,1.7,21.5,0.8,115,0.3,2stage
GaN ,0.15,12,13,2.15,160,12,Distributed
GaN ,0.1,62.5,14,4.4,null,25,Distributed
GaN,0.25,2.4,19.8,0.82,80,null,2stage
GaN ,0.15,30,27,1.7,170,5,4stage
GaN ,0.15,10,29,0.75,150,4,3stage
GaN ,0.2,10,18,1.4,190,2,3stage
GaN ,0.07,107.5,16,5,85,15,3stage
GaN,0.15,24,26,1.8,70,4,3stage
GaN ,0.1,94,23,3.5,110,8,5stage
GaN ,0.25,4.25,16,1.2,105,1.5,2stage
GaN ,0.15,11,10,3,null,18,Distributed
GaN ,0.1,57.5,12,5,120,35,Distributed
GaN ,0.15,29,22,2.1,100,4,3stage
GaN ,0.05,150,10,7,90,20,2stage
GaN ,0.15,3.5,17,1.85,150,5,null
GaN,0.2,8,20,1.2,135,1.5,2stage
GaN ,0.1,75,18,4.1,95,10,4stage
GaN ,0.15,24,24,1.8,80,4,3stage
GaN ,0.15,16,16,1.6,140,8,3stage
GaN ,0.25,1.6,22.5,0.7,130,0.2,2stage
GaN ,0.1,90,20,4.2,105,12,4stage
GaAs ,0.1,78.5,22,3.6,130,15,5stage
GaAs ,0.15,15,20,1.3,80,6,4stage
GaAs ,0.1,103.5,15,5,90,17,4stage
GaAs ,0.13,7,19,1.25,70,6,3stage
